rank,title,year,director,times_picked,lb_rating,imdb_rating,imdb_votes,imdb
1525,The Long Farewell,1971,Kira Muratova,1,3.85,7.3,1378,tt0092905
1526,Zatoichi's Conspiracy,1973,Kimiyoshi Yasuda,1,3.48,7,1239,tt0072439
1527,Everything Everywhere All at Once,2022,"Daniel Scheinert, Daniel Kwan",1,4.24,7.7,652040,tt6710474
1528,Lone Wolf and Cub: White Heaven in Hell,1974,Yoshiyuki Kuroda,1,3.66,7.3,4773,tt0071695
1529,Pan 0,1974,Hollis Frampton,1,2.63,4.3,392,tt2187009
1530,Zatoichi Meets the One-Armed Swordsman,1971,"Kimiyoshi Yasuda, Hsu Tseng-Hung",1,3.59,7.1,1917,tt0066602
1531,Decision to Leave,2022,Park Chan-wook,1,3.98,7.3,70076,tt12477480
1532,A Poem Is a Naked Person,1974,Les Blank,1,3.79,7.1,615,tt0424359
1533,The Gold Rush,1925,Charlie Chaplin,1,4.15,8.1,128407,tt0015864
1534,Freshwater Assassins,1947,Jean Painlevé,1,3.45,6.5,303,tt0129762
1535,Manila in the Claws of Light,1975,Lino Brocka,1,4.23,7.8,3260,tt0073363
1536,Overlord,1975,Stuart Cooper,1,3.6,7.1,3767,tt0073502
1537,Armageddon,1998,Michael Bay,1,3.18,6.7,480864,tt0120591
1538,The Love Life of an Octopus,1967,"Jean Painlevé, Geneviève Hamon",1,3.73,7.1,595,tt1441320
1539,Zatoichi's Pilgrimage,1966,Kazuo Ikehiro,1,3.62,7.2,1360,tt0199905
1540,The Sea Horse,1935,Jean Painlevé,1,3.7,7.2,745,tt0129994
1541,A Couple,2022,Frederick Wiseman,1,2.91,5.5,242,tt21374862
1542,I Shot Jesse James,1949,Samuel Fuller,1,3.49,6.8,2720,tt0041497
1543,"Flunky, Work Hard!",1931,Mikio Naruse,1,3.53,6.7,587,tt0022036
1544,The Phantom Carriage,1921,Victor Sjöström,1,4.09,8,15843,tt0012364
1545,Lynch/Oz,2022,Alexandre O. Philippe,1,3.45,6.9,1845,tt15399286
1546,Hustlers,2019,Lorene Scafaria,1,3.29,6.3,113272,tt5503686
1547,Sólo con tu pareja,1991,Alfonso Cuarón,1,3.41,6.8,4638,tt0102958
1548,World on a Wire,1973,Rainer Werner Fassbinder,1,4.13,7.7,7417,tt0070904
1549,Aftersun,2022,Charlotte Wells,1,4.21,7.6,130277,tt19770238
1550,La Cage aux Folles,1978,Édouard Molinaro,1,3.66,7.2,13156,tt0077288
1551,Chess of the Wind,1976,Mohammad Reza Aslani,1,4,7.3,2419,tt0318069
1552,Scandal,1950,Akira Kurosawa,1,3.52,7.2,5275,tt0042958
1553,Chronicle of a Summer,1961,"Jean Rouch, Edgar Morin",1,3.9,7.4,4033,tt0054745
1554,In the Heat of the Night,1967,Norman Jewison,1,4.04,7.9,91633,tt0061811
1555,Kanal,1957,Andrzej Wajda,1,4.13,7.9,8880,tt0050585
1556,It Happened One Night,1934,Frank Capra,1,4.18,8.1,120001,tt0025316
1557,The Man Who Fell to Earth,1976,Nicolas Roeg,1,3.46,6.6,31406,tt0074851
1558,The Story of a Cheat,1936,Sacha Guitry,1,3.87,7.5,2784,tt0028201
1559,The Baby Carriage,1963,Bo Widerberg,1,3.58,6.6,783,tt0056854
1560,A Woman's Face,1938,Gustaf Molander,1,3.44,7,1297,tt0030337
1561,Faces of November,1964,Robert Drew,1,3.68,7.2,351,tt1727578
1562,The Love Parade,1929,Ernst Lubitsch,1,3.44,6.9,2936,tt0020112
1563,Carlos,2010,Olivier Assayas,1,3.9,7.6,15049,tt1321865
1564,Le Corbeau,1943,Henri-Georges Clouzot,1,3.91,7.8,11950,tt0035753
1565,Dollar,1938,Gustaf Molander,1,3.13,5.8,522,tt0030066
1566,All Night Long,1962,Basil Dearden,1,3.68,7.1,1899,tt0054614
1567,Is That Black Enough for You?!?,2022,Elvis Mitchell,1,3.83,7.2,1752,tt21438352
1568,Eight Hours Don’t Make a Day,1972,Rainer Werner Fassbinder,1,4.31,8.2,758,tt0068028
1569,Oldboy,2003,Park Chan-wook,1,4.36,8.3,723138,tt0364569
1570,So Much Tenderness,2022,Lina Rodríguez,1,3.17,5.8,59,tt16022080
1571,She Came to Me,2023,Rebecca Miller,1,2.84,6,10021,tt6689014
1572,"Oslo, August 31st",2011,Joachim Trier,1,4.09,7.6,34312,tt1736633
1573,Apart from You,1933,Mikio Naruse,1,3.72,7.1,739,tt0024214
1574,Let the Sunshine In,2017,Claire Denis,1,3.25,6,8391,tt6423776
1575,Fair Play,2023,Chloe Domont,1,3.18,6.4,47047,tt16304446
1576,The Birth of Magellan: Cadenza I,1977,Hollis Frampton,1,3.13,4.5,291,tt2187107
1577,Vengeance Is Mine,1979,Shōhei Imamura,1,3.94,7.6,8107,tt0079182
1578,Submarine,2010,Richard Ayoade,1,3.88,7.3,101306,tt1440292
1579,Homework,1989,Abbas Kiarostami,1,4.13,7.7,2435,tt0097843
1580,Riddle of Fire,2023,Weston Razooli,1,3.84,6.5,2189,tt7575046
1581,Zatoichi Goes to the Fire Festival,1970,Kenji Misumi,1,3.76,7.3,1759,tt0164982
1582,Phoenix,2014,Christian Petzold,1,4,7.3,22173,tt2764784
1583,A River Called Titas,1973,Ritwik Ghatak,1,3.74,7.2,1563,tt0070809
