rank,title,year,director,times_picked,lb_rating,imdb_rating,imdb_votes,imdb
998,Bitter Rice,1949,Giuseppe De Santis,2,3.86,7.6,5626,tt0040737
999,Leave Her to Heaven,1945,John M. Stahl,2,3.94,7.6,16800,tt0037865
1000,War and Peace,1965,Sergey Bondarchuk,2,4.4,8.3,9727,tt0063794
1001,Faya Dayi,2021,Jessica Beshir,2,3.74,6.8,803,tt13648216
1002,People on Sunday,1930,"Robert Siodmak, Edgar G. Ulmer",2,3.62,7.2,3977,tt0020163
1003,Once Upon a Time in China III,1992,Tsui Hark,2,3.37,6.7,8273,tt0108592
1004,Beastie Boys: Video Anthology,2000,"Adam Bernstein, Spike Jonze, David Perez Shadi, Evan Bernard, Tamra Davis, Adam Yauch, Ari Marcopoulos",2,4.2,8.3,1188,tt0273456
1005,Topsy-Turvy,1999,Mike Leigh,2,3.86,7.3,14268,tt0151568
1006,Che: Part One,2008,Steven Soderbergh,2,3.81,7.1,49865,tt0892255
1007,Valerie and Her Week of Wonders,1970,Jaromil Jireš,2,3.45,7,13528,tt0066516
1008,Nineteen Eighty-Four,1984,Michael Radford,2,3.37,7,88492,tt0087803
1009,Education,2020,Steve McQueen,2,3.83,7.5,2613,tt10551106
1010,Once Upon a Time in China II,1992,Tsui Hark,2,3.78,7.3,11438,tt0105839
1011,"I Was Born, But...",1932,Yasujirō Ozu,2,4,7.8,6796,tt0023634
1012,Boyhood,2014,Richard Linklater,2,3.83,7.9,382444,tt1065073
1013,The Cremator,1969,Juraj Herz,2,4.3,8,12979,tt0063633
1014,Red River,1948,Howard Hawks,2,4.02,7.7,38008,tt0040724
1015,Love Is Colder Than Death,1969,Rainer Werner Fassbinder,2,3.31,6.4,3820,tt0064588
1016,The Firemen's Ball,1967,Miloš Forman,2,3.72,7.3,13390,tt0061781
1017,The Last Wave,1977,Peter Weir,2,3.57,6.9,12475,tt0076299
1018,The Naked City,1948,Jules Dassin,2,3.81,7.5,17066,tt0040636
1019,The American Friend,1977,Wim Wenders,2,4.03,7.4,21336,tt0075675
1020,The American Soldier,1970,Rainer Werner Fassbinder,2,3.33,6.5,2069,tt0065391
1021,Infernal Affairs III,2003,"Alan Mak Siu-Fai, Andrew Lau Wai-Keung",2,3.29,6.8,15839,tt0374339
1022,El Sur,1983,Víctor Erice,2,4.16,7.8,7416,tt0084740
1023,Speedy,1928,Ted Wilde,2,3.81,7.6,4815,tt0019412
1024,Godland,2022,Hlynur Pálmason,2,3.87,7.1,9753,tt19623228
1025,Mr. Klein,1976,Joseph Losey,2,4.03,7.5,10632,tt0074916
1026,Leningrad Cowboys Go America,1989,Aki Kaurismäki,2,3.77,7,9490,tt0097728
1027,Lovers Rock,2020,Steve McQueen,2,4.05,7.5,5604,tt10551102
1028,A Dry White Season,1989,Euzhan Palcy,2,3.61,7,6893,tt0097243
1029,White Mane,1953,Albert Lamorisse,2,3.67,7.2,2522,tt0044518
1030,The Adventures of Baron Munchausen,1988,Terry Gilliam,2,3.73,7.1,59996,tt0096764
1031,The Children Are Watching Us,1943,Vittorio De Sica,2,3.87,7.7,3380,tt0034493
1032,Fists in the Pocket,1965,Marco Bellocchio,2,3.87,7.5,5700,tt0059619
1033,The Ballad of Narayama,1958,Keisuke Kinoshita,2,4.02,7.8,4162,tt0051980
1034,Once Upon a Time in China V,1994,Tsui Hark,2,3.15,5.9,1342,tt0110073
1035,Circus Angel,1965,Albert Lamorisse,2,3.45,6.7,206,tt0059177
1036,Gilda,1946,Charles Vidor,2,3.76,7.6,37486,tt0038559
1037,Stowaway in the Sky,1960,Albert Lamorisse,2,3.53,6.6,335,tt0056667
1038,Smithereens,1982,Susan Seidelman,2,3.57,6.7,3159,tt0084698
1039,Dodes'ka-den,1970,Akira Kurosawa,2,3.72,7.3,8393,tt0065649
1040,"Red, White and Blue",2020,Steve McQueen,2,3.83,7.6,3527,tt10551108
1041,Time Bandits,1981,Terry Gilliam,2,3.54,6.9,74459,tt0081633
1042,Borderline,1930,Kenneth MacPherson,2,3.46,6.1,637,tt0020701
1043,Network,1976,Sidney Lumet,2,4.26,8.1,186259,tt0074958
1044,Bergman Island,2021,Mia Hansen-Løve,2,3.6,6.6,11703,tt6910282
1045,The Flavor of Green Tea Over Rice,1952,Yasujirō Ozu,2,4.03,7.6,4428,tt0044982
1046,Infernal Affairs II,2003,"Andrew Lau Wai-Keung, Alan Mak Siu-Fai",2,3.71,7.2,21294,tt0369060
1047,Othello,1951,Orson Welles,2,3.85,7.5,10220,tt0045251
1048,Viridiana,1961,Luis Buñuel,2,4.1,8,28303,tt0055601
1049,Guillermo del Toro's Pinocchio,2022,"Mark Gustafson, Guillermo del Toro",2,3.99,7.6,163645,tt1488589
1050,Meantime,1983,Mike Leigh,2,3.81,7.1,5537,tt0082727
1051,The Life of Oharu,1952,Kenji Mizoguchi,2,4.21,8,8436,tt0045112
1052,The Cousins,1959,Claude Chabrol,2,3.72,7.2,3596,tt0052708
1053,The Tree of Wooden Clogs,1978,Ermanno Olmi,2,4.1,7.8,9420,tt0077138
1054,Jericho,1937,Thornton Freeland,2,3.5,6.2,365,tt0029064
1055,Afire,2023,Christian Petzold,2,3.69,7,11364,tt26440619
1056,Blue Is the Warmest Color,2013,Abdellatif Kechiche,2,3.19,7.6,173836,tt2278871
1057,Okja,2017,Bong Joon Ho,2,3.71,7.3,142337,tt3967856
1058,Pat Garrett & Billy the Kid,1973,Sam Peckinpah,2,3.88,7.2,23329,tt0070518
1059,A Day in the Country,1946,Jean Renoir,2,3.85,7.5,7774,tt0028445
1060,Shoot the Piano Player,1960,François Truffaut,2,3.77,7.4,21937,tt0054389
1061,Foreign Correspondent,1940,Alfred Hitchcock,2,3.71,7.4,26164,tt0032484
1062,Following,1998,Christopher Nolan,2,3.49,7.4,111113,tt0154506
1063,Shallow Grave,1994,Danny Boyle,2,3.79,7.2,71073,tt0111149
1064,The Life of Jesus,1997,Bruno Dumont,2,3.64,6.9,3776,tt0120448
1065,Once Upon a Time in China IV,1993,Yuen Bun,2,2.98,5.9,1517,tt0107162
1066,The Underground Railroad,2021,Barry Jenkins,2,4.13,7.4,9593,tt6704972
1067,"Clean, Shaven",1993,Lodge Kerrigan,2,3.68,7,6570,tt0106579
1068,Master of the House,1925,Carl Theodor Dreyer,2,3.61,7,2665,tt0015768
1069,All of Us Strangers,2023,Andrew Haigh,2,3.93,7.6,79901,tt21192142
1070,Walker,1987,Alex Cox,2,3.83,6.7,4881,tt0096409
1071,2 or 3 Things I Know About Her,1967,Jean-Luc Godard,2,3.49,6.5,9400,tt0060304
1072,"Black God, White Devil",1964,Glauber Rocha,2,3.77,7.1,6359,tt0058006
1073,The Tree of Life,2011,Terrence Malick,2,3.84,6.8,192730,tt0478304
1074,Youth of the Beast,1963,Seijun Suzuki,2,3.78,7.3,4266,tt0057697
1075,Gate of Flesh,1964,Seijun Suzuki,2,3.8,7.2,3723,tt0058409
1076,Medicine for Melancholy,2008,Barry Jenkins,2,3.33,6.6,2997,tt1133989
1077,The Three Musketeers,1973,Richard Lester,2,3.43,7.1,20628,tt0072281
1078,The Thin Blue Line,1988,Errol Morris,2,4.07,7.9,26248,tt0096257
1079,À propos de Nice,1930,"Jean Vigo, Boris Kaufman",2,3.74,7.3,4998,tt0021576
1080,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,2019,Martin Scorsese,2,3.93,7.5,8679,tt9577852
1081,The Element of Crime,1984,Lars von Trier,2,3.42,6.7,12286,tt0087280
1082,Beware of a Holy Whore,1971,Rainer Werner Fassbinder,2,3.57,6.6,2804,tt0067962
1083,Taste of Cherry,1997,Abbas Kiarostami,2,4.32,7.7,44412,tt0120265
1084,Body and Soul,1925,Oscar Micheaux,2,3.37,6.2,1341,tt0015634
1085,Gods of the Plague,1970,Rainer Werner Fassbinder,2,3.28,6.4,1660,tt0065808
1086,Shake! Otis at Monterey,1987,"D. A. Pennebaker, Chris Hegedus",2,4.24,7.9,947,tt0093951
1087,Killer of Sheep,1978,Charles Burnett,2,3.98,7.2,8668,tt0076263
1088,"Goké, Body Snatcher from Hell",1968,Hajime Sato,2,3.26,6.1,2225,tt0063206
1089,Mildred Pierce,1945,Michael Curtiz,2,4.08,7.9,31532,tt0037913
1090,My Brilliant Career,1979,Gillian Armstrong,2,3.73,7.1,5335,tt0079596
1091,Paul Robeson: Tribute to an Artist,1979,Saul J. Turell,2,3.72,7.5,574,tt0079704
1092,The Little Soldier,1963,Jean-Luc Godard,2,3.64,7.1,8806,tt0054177
1093,Cria!,1976,Carlos Saura,2,4.22,7.9,12414,tt0074360
1094,The Hidden Fortress,1958,Akira Kurosawa,2,4.15,8,45993,tt0051808
1095,Until the End of the World,1991,Wim Wenders,2,3.94,6.8,12575,tt0101458
1096,Mala Noche,1986,Gus Van Sant,2,3.25,6.5,4693,tt0089537
1097,Japón,2002,Carlos Reygadas,2,3.7,6.8,4205,tt0322824
1098,Fear and Loathing in Las Vegas,1998,Terry Gilliam,2,3.76,7.4,320067,tt0120669
1099,Epidemic,1987,Lars von Trier,2,3.04,5.9,6692,tt0092972
1100,The Lodger: A Story of the London Fog,1927,Alfred Hitchcock,2,3.71,7.3,15129,tt0017075
1101,Exotica,1994,Atom Egoyan,2,3.96,7,22605,tt0109759
1102,Once Upon a Time in China,1991,Tsui Hark,2,3.73,7.2,21474,tt0103285
1103,The Four Musketeers,1974,Richard Lester,2,3.41,6.9,12771,tt0073012
1104,Charulata,1964,Satyajit Ray,2,4.18,8.1,8019,tt0057935
1105,Bang the Drum Slowly,1956,Daniel Petrie,1,3.42,7.3,195,tt0202808
1106,Happy Anniversary,1962,"Pierre Étaix, Jean-Claude Carrière",1,3.63,7.2,968,tt0056066
1107,The Taste of Things,2023,Trần Anh Hùng,1,3.96,7.4,21208,tt19760052
1108,The Long Day Closes,1992,Terence Davies,1,3.97,7.3,4506,tt0104753
1109,Every Man for Himself,1980,Jean-Luc Godard,1,3.53,6.5,4321,tt0079854
1110,That Night's Wife,1930,Yasujirō Ozu,1,3.53,6.9,1110,tt0021406
1111,Maxwell's Demon,1968,Hollis Frampton,1,2.92,4.8,440,tt0130854
1112,Pan 2,1974,Hollis Frampton,1,2.84,4.4,376,tt2187013
1113,The Ballad of Gregorio Cortez,1982,Robert M. Young,1,3.76,7,1149,tt0083613
1114,Ministry of Fear,1944,Fritz Lang,1,3.57,7.1,9709,tt0037075
1115,Eyimofe (This Is My Desire),2020,"Chuko Esiri, Arie Esiri",1,3.74,7,714,tt10365870
1116,Wildcat,2023,Ethan Hawke,1,3.07,5.8,1722,tt26442871
1117,Reprise,2006,Joachim Trier,1,3.84,7.3,18179,tt0827517
1118,The French Lieutenant's Woman,1981,Karel Reisz,1,3.47,6.9,16870,tt0082416
1119,The Wave,1936,"Fred Zinnemann, Emilio Gómez Muriel",1,3.59,7,987,tt0028165
1120,Lady Snowblood 2: Love Song of Vengeance,1974,Toshiya Fujita,1,3.32,6.3,4832,tt0072157
1121,Orpheus,1950,Jean Cocteau,1,4.09,7.8,14582,tt0041719
1122,Terms of Endearment,1983,James L. Brooks,1,3.82,7.4,70876,tt0086425
1123,Howards End,1992,James Ivory,1,3.73,7.3,38813,tt0104454
1124,The Traitor,2019,Marco Bellocchio,1,3.66,7.1,14573,tt7736478
1125,Zatoichi on the Road,1963,Kimiyoshi Yasuda,1,3.5,7.1,2169,tt0057714
1126,Drive,2011,Nicolas Winding Refn,1,3.9,7.8,766644,tt0780504
1127,The Wiz,1978,Sidney Lumet,1,3.48,5.7,19828,tt0078504
1128,Wise Blood,1979,John Huston,1,3.54,6.9,7060,tt0080140
1129,Requiem for a Heavyweight,1956,Ralph Nelson,1,3.64,8.3,360,tt0049669
1130,The Model Couple,1977,William Klein,1,3.41,6.3,503,tt0191053
1131,Raven's End,1963,Bo Widerberg,1,3.78,7.3,2002,tt0057237
1132,Corridors of Blood,1958,Robert Day,1,3.18,6.4,2559,tt0051542
1133,Murmur of the Heart,1971,Louis Malle,1,3.81,7.5,11681,tt0067778
1134,Insomnia,1997,Erik Skjoldbjærg,1,3.63,7.2,17476,tt0119375
1135,The People's Joker,2022,Vera Drew,1,3.76,6.3,2249,tt21651430
1136,All Dirt Roads Taste of Salt,2023,Raven Jackson,1,3.39,5.9,1483,tt11534720
1137,Hapax Legomena III: Critical Mass,1971,Hollis Frampton,1,3.49,5.6,326,tt0130585
1138,Louder Than Bombs,2015,Joachim Trier,1,3.46,6.6,15401,tt2217859
1139,Zatoichi's Vengeance,1966,Tokuzō Tanaka,1,3.61,7.2,1442,tt0143012
1140,Visions of Eight,1973,"Miloš Forman, Kon Ichikawa, Arthur Penn, John Schlesinger, Mai Zetterling, Claude Lelouch, Michael Pfleghar, Yuri Ozerov",1,3.6,6.8,860,tt0070884
1141,The Importance of Being Earnest,1952,Anthony Asquith,1,3.66,7.4,6917,tt0044744
1142,Scott Pilgrim vs. the World,2010,Edgar Wright,1,3.88,7.5,498020,tt0446029
1143,The Tramp and the Dictator,2002,"Kevin Brownlow, Michael Kloft",1,3.51,7.7,729,tt0311929
1144,The Immortal Story,1968,Orson Welles,1,3.66,6.9,3906,tt0063127
1145,Irreversible,2002,Gaspar Noé,1,3.63,7.3,163858,tt0290673
1146,Walpurgis Night,1935,Gustaf Edgren,1,3.01,6,532,tt0027164
1147,Lady Snowblood,1973,Toshiya Fujita,1,4.12,7.6,19138,tt0158714
1148,Tangerine,2015,Sean Baker,1,3.88,7.1,43267,tt3824458
1149,Crisis: Behind a Presidential Commitment,1963,"Robert Drew, Richard Leacock, D. A. Pennebaker, Hope Ryden, James Lipscomb",1,3.84,7.7,942,tt0263238
1150,Ride with the Devil,1999,Ang Lee,1,3.36,6.7,15293,tt0134154
1151,The Smiling Lieutenant,1931,Ernst Lubitsch,1,3.61,7.1,4437,tt0022074
1152,Zatoichi the Fugitive,1963,Tokuzō Tanaka,1,3.59,7.2,2236,tt0057715
1153,The Comedian,1957,John Frankenheimer,1,3.5,7.8,301,tt0050259
1154,When a Woman Ascends the Stairs,1960,Mikio Naruse,1,4.2,8,5400,tt0054144
1155,The Substance,2024,Coralie Fargeat,1,3.72,7.2,446831,tt17526714
1156,Night Train to Munich,1940,Carol Reed,1,3.6,7.2,6276,tt0032842
1157,Diplomacy,2014,Volker Schlöndorff,1,3.51,7.1,6224,tt3129564
1158,WR: Mysteries of the Organism,1971,Dušan Makavejev,1,3.63,6.6,5819,tt0067958
1159,Bait,2019,Mark Jenkin,1,3.86,7.1,5751,tt9652782
1160,Sapphire,1959,Basil Dearden,1,3.54,7.2,3009,tt0053242
1161,Mr. Freedom,1968,William Klein,1,3.43,6.4,1362,tt0064674
1162,Two Girls on the Street,1939,André de Toth,1,3.23,6.4,243,tt0031544
1163,A Woman Is a Woman,1961,Jean-Luc Godard,1,3.9,7.3,20553,tt0055572
1164,La Ronde,1950,Max Ophüls,1,3.9,7.4,6523,tt0042906
1165,Man Is Not a Bird,1965,Dušan Makavejev,1,3.61,7.1,1547,tt0059063
1166,Black River,1957,Masaki Kobayashi,1,3.62,7.2,1371,tt0134771
1167,Sambizanga,1972,Sarah Maldoror,1,3.85,7,1059,tt0069214
1168,Sweet Dreams,2023,Ena Sendijarević,1,3.49,6.5,1440,tt13110998
1169,Marty,1953,Delbert Mann,1,3.38,7.8,383,tt0245266
1170,The Confession,1970,Costa-Gavras,1,4.02,7.8,5380,tt0065439
1171,Innocence Unprotected,1968,Dušan Makavejev,1,3.68,7.1,981,tt0063342
1172,I'm Still Here,2024,Walter Salles,1,4.34,8.1,167657,tt14961016
1173,The League of Gentlemen,1960,Basil Dearden,1,3.65,7.2,5853,tt0052997
1174,Another Year,2010,Mike Leigh,1,4.03,7.4,32258,tt1431181
1175,Hiroshima Mon Amour,1959,Alain Resnais,1,4.16,7.8,39549,tt0052893
1176,Beau Is Afraid,2023,Ari Aster,1,3.42,6.6,79268,tt13521006
1177,The Other Side of Hope,2017,Aki Kaurismäki,1,3.78,7.2,14863,tt5222918
1178,Personal Velocity,2002,Rebecca Miller,1,3.18,6.4,4101,tt0295238
1179,Casque d'Or,1952,Jacques Becker,1,3.83,7.6,6674,tt0043386
1180,Zatoichi and the Doomed Man,1965,Kazuo Mori,1,3.34,6.8,1518,tt0202154
1181,Lone Wolf and Cub: Baby Cart at the River Styx,1972,Kenji Misumi,1,4.02,7.9,7526,tt0068816
1182,Heaven Knows What,2014,"Benny Safdie, Josh Safdie",1,3.66,6.8,10522,tt3687186
1183,Fire of Love,2022,Sara Dosa,1,4.16,7.6,16759,tt16227014
1184,High Sierra,1941,Raoul Walsh,1,3.72,7.5,21083,tt0033717
1185,Birth,2004,Jonathan Glazer,1,3.71,6.3,45002,tt0337876
1186,I Saw the TV Glow,2024,Jane Schoenbrun,1,3.52,5.8,46550,tt15574270
1187,Halloween,1978,John Carpenter,1,3.75,7.7,340247,tt0077651
1188,Three Outlaw Samurai,1964,Hideo Gosha,1,3.92,7.6,4457,tt0058652
1189,I Shot Andy Warhol,1996,Mary Harron,1,3.48,6.6,7455,tt0116594
1190,American Gangster,2007,Ridley Scott,1,3.94,7.8,489104,tt0765429
1191,The Housemaid,1960,Kim Ki-young,1,3.75,7.2,6696,tt0150980
1192,Girlfight,2000,Karyn Kusama,1,3.43,6.7,10724,tt0210075
1193,A Nos Amours,1983,Maurice Pialat,1,3.86,7.1,7806,tt0086650
1194,Lone Wolf and Cub: Baby Cart to Hades,1972,Kenji Misumi,1,3.75,7.5,6188,tt0068817
1195,Bluebeard,1936,"Jean Painlevé, René Bertrand",1,3.46,6.4,419,tt0129775
1196,A Man's Head,1933,Julien Duvivier,1,3.6,7.1,776,tt0024710
1197,How to Have Sex,2023,Molly Manning Walker,1,3.58,6.4,23261,tt22890246
1198,Hot Fuzz,2007,Edgar Wright,1,4.08,7.8,569205,tt0425112
1199,Irma Vep,1996,Olivier Assayas,1,3.9,7,10766,tt0116650
1200,Pigeons in the Square,1982,Jean Painlevé,1,3.49,6.3,305,tt1446096
1201,Magnificent Obsession,1954,Douglas Sirk,1,3.63,7,8634,tt0047203
1202,The Uninvited,1944,Lewis Allen,1,3.51,7.2,13609,tt0037415
1203,Daphnia,1928,Jean Painlevé,1,3.34,6.2,338,tt0129860
1204,Tokyo Drifter,1966,Seijun Suzuki,1,3.76,7.1,10621,tt0061101
1205,Coup de Grâce,1976,Volker Schlöndorff,1,3.6,7,1581,tt0074515
1206,Zatoichi Challenged,1967,Kenji Misumi,1,3.62,7.4,1681,tt0063834
1207,Zatoichi Meets Yojimbo,1970,Kihachi Okamoto,1,3.44,7,3141,tt0066603
1208,The Woman King,2022,Gina Prince-Bythewood,1,3.69,6.9,83445,tt8093700
1209,Brief Encounters,1967,Kira Muratova,1,3.71,7.2,1393,tt0061883
1210,Experimental Treatment of a Hemorrhage in a Dog,1930,Jean Painlevé,1,3.21,4.8,351,tt1446199
1211,Pan 3,1974,Hollis Frampton,1,2.87,4.8,386,tt2187015
1212,Malcolm X,1972,Arnold Perl,1,3.74,7.6,592,tt0068903
1213,The New Land,1972,Jan Troell,1,4.26,8,5893,tt0069035
1214,Beyond the Law,1968,Norman Mailer,1,,4.3,214,tt0169606
1215,Young Mr. Lincoln,1939,John Ford,1,3.89,7.5,9975,tt0032155
1216,Street Without End,1934,Mikio Naruse,1,3.56,6.9,460,tt0025338
1217,The Eight Mountains,2022,"Felix van Groeningen, Charlotte Vandermeersch",1,4.12,7.7,19693,tt14641542
1218,Stress Positions,2024,Theda Hammel,1,3.34,5,735,tt30319533
1219,Just Another Girl on the I.R.T.,1992,Leslie Harris,1,3.59,6.4,1577,tt0104575
1220,Here Comes Mr. Jordan,1941,Alexander Hall,1,3.65,7.5,8090,tt0033712
1221,The Breaking Ice,2023,Anthony Chen,1,3.5,6.5,1549,tt17052842
1222,The Docks of New York,1928,Josef von Sternberg,1,3.83,7.5,5529,tt0018839
1223,Lisa Frankenstein,2024,Zelda Williams,1,3.5,6.1,32709,tt21188080
1224,All Quiet on the Western Front,2022,Edward Berger,1,4.08,7.8,338521,tt1016150
1225,La Promesse,1996,"Jean-Pierre Dardenne, Luc Dardenne",1,4,7.7,9026,tt0117398
1226,All That Money Can Buy,1941,William Dieterle,1,3.75,7.5,6559,tt0033532
1227,The Wind Will Carry Us,1999,Abbas Kiarostami,1,4.08,7.4,14133,tt0209463
1228,Samurai Rebellion,1967,Masaki Kobayashi,1,4.31,8.3,15712,tt0061847
1229,Zatoichi in Desperation,1972,Shintarō Katsu,1,3.53,6.8,1304,tt0201922
1230,Zatoichi and the Fugitives,1968,Kimiyoshi Yasuda,1,3.64,7.3,1446,tt0063835
1231,The Naked Prey,1965,Cornel Wilde,1,3.53,7.3,6308,tt0060736
1232,Zatoichi's Revenge,1965,Akira Inoue,1,3.6,7.3,1682,tt0123335
1233,The Warrior,2001,Asif Kapadia,1,3.42,6.6,2909,tt0295682
1234,Sea Ballerinas,1956,"Jean Painlevé, Geneviève Hamon",1,3.45,6.5,262,tt0129859
1235,Manual of Arms,1966,Hollis Frampton,1,3.24,5.2,293,tt2186945
1236,Hyas and Stenorhynchus,1929,Jean Painlevé,1,3.51,6.8,464,tt0417767
1237,Letter Never Sent,1960,Mikhail Kalatozov,1,4.09,7.8,4910,tt0053106
1238,The Drum,1938,Zoltan Korda,1,3.15,6.3,1049,tt0030082
1239,Choose Me,1984,Alan Rudolph,1,3.69,6.7,3535,tt0087054
1240,Io Capitano,2023,Matteo Garrone,1,3.9,7.6,17993,tt14225838
1241,In Vanda's Room,2000,Pedro Costa,1,4.04,7,1908,tt0139500
1242,One Wonderful Sunday,1947,Akira Kurosawa,1,3.78,7.2,4183,tt0039871
1243,The Big City,1963,Satyajit Ray,1,4.25,8.3,5667,tt0057277
1244,Imitation of Life,1934,John M. Stahl,1,3.54,7.5,6212,tt0025301
1245,Juror #2,2024,Clint Eastwood,1,3.38,7,127809,tt27403986
1246,Dick Johnson Is Dead,2020,Kirsten Johnson,1,3.93,7.4,7680,tt11394180
1247,Insignificance,1985,Nicolas Roeg,1,3.42,6.4,4306,tt0089343
1248,El Norte,1983,Gregory Nava,1,3.9,7.7,6051,tt0085482
1249,Lone Wolf and Cub: Baby Cart in Peril,1972,Buichi Saitō,1,3.77,7.5,5472,tt0143348
1250,Immaculate,2024,Michael Mohan,1,2.88,5.8,61624,tt23137390
1251,Big Deal on Madonna Street,1958,Mario Monicelli,1,4.03,7.9,12899,tt0052216
1252,Scarface,1932,Howard Hawks,1,3.83,7.7,33511,tt0023427
1253,Only God Forgives,2013,Nicolas Winding Refn,1,2.99,5.7,123272,tt1602613
1254,Quadrille,1938,Sacha Guitry,1,3.44,6.7,469,tt0030642
1255,Danton,1983,Andrzej Wajda,1,3.69,7.4,8449,tt0083789
1256,Border Radio,1987,"Allison Anders, Dean Lent, Kurt Voss",1,3.05,5.3,805,tt0090766
1257,Navalny,2022,Daniel Roher,1,3.9,7.8,67224,tt17041964
1258,Babygirl,2024,Halina Reijn,1,2.67,5.7,82334,tt30057084
1259,Carmen,2022,Benjamin Millepied,1,3.02,5.7,1544,tt6875952
1260,25th Hour,2002,Spike Lee,1,3.86,7.6,190749,tt0307901
1261,Investigation of a Citizen Above Suspicion,1970,Elio Petri,1,4.22,8,15479,tt0065889
1262,When We Were Kings,1996,Leon Gast,1,4.13,7.9,19132,tt0118147
1263,Sisters,1972,Brian De Palma,1,3.6,6.8,23596,tt0070698
1264,Only Angels Have Wings,1939,Howard Hawks,1,4.1,7.6,17448,tt0031762
1265,Fanny,1932,Marc Allégret,1,3.95,7.7,2150,tt0022877
1266,No Blood Relation,1932,Mikio Naruse,1,3.53,6.8,524,tt0023261
1267,Every-Night Dreams,1933,Mikio Naruse,1,3.76,7.1,728,tt0024793
1268,No Time for Sergeants,1955,Alex Segal,1,3.36,6.8,155,tt0394965
1269,The Count of the Old Town,1935,"Edvin Adolphson, Sigurd Wallén",1,3.22,6,438,tt0026737
